Server address is 192.168.1.100:25000
------Start Packet-----
packet no: 0
glBegin (7) 8
glEnd () 10
glBegin (7) 14
glEnd () 16
glBegin (7) 20
glEnd () 22
glBegin (7) 26
glEnd () 28
glBegin (7) 32
glEnd () 34
glBegin (7) 38
glEnd () 40
glBegin (7) 44
glEnd () 46
glBegin (7) 50
glEnd () 52
glBegin (7) 56
glEnd () 58
glBegin (7) 62
glEnd () 64
glBegin (7) 68
glEnd () 70
glBegin (7) 74
glEnd () 76
glBegin (7) 80
glEnd () 82
glBegin (7) 86
glEnd () 88
glBegin (7) 92
glEnd () 94
glBegin (7) 98
glEnd () 100
glBegin (7) 104
glEnd () 106
glBegin (7) 110
glEnd () 112
glBegin (7) 116
glEnd () 118
glBegin (7) 122
glEnd () 124
glBegin (7) 128
glEnd () 130
glBegin (7) 134
glEnd () 136
glBegin (7) 140
glEnd () 142
glBegin (7) 146
glEnd () 148
glBegin (7) 152
glEnd () 154
glBegin (7) 158
glEnd () 160
glBegin (7) 164
glEnd () 166
glBegin (7) 170
glEnd () 172
glBegin (7) 176
glEnd () 178
glBegin (7) 182
glEnd () 184
glBegin (7) 188
glEnd () 190
glBegin (7) 194
glEnd () 196
glBegin (7) 200
glEnd () 202
glBegin (7) 206
glEnd () 208
glBegin (7) 212
glEnd () 214
glBegin (7) 218
glEnd () 220
glBegin (7) 224
glEnd () 226
glBegin (7) 230
glEnd () 232
glBegin (7) 236
glEnd () 238
glBegin (7) 242
glEnd () 244
glBegin (7) 248
glEnd () 250
glBegin (7) 254
glEnd () 256
glBegin (7) 260
glEnd () 262
glBegin (7) 266
glEnd () 268
glBegin (7) 272
glEnd () 274
glBegin (7) 278
glEnd () 280
glBegin (7) 284
glEnd () 286
glBegin (7) 290
glEnd () 292
glBegin (7) 296
glEnd () 298
glBegin (7) 302
glEnd () 304
glBegin (7) 308
glEnd () 310
glBegin (7) 314
glEnd () 316
glBegin (7) 320
glEnd () 322
glBegin (7) 326
glEnd () 328
glBegin (7) 332
glEnd () 334
glBegin (7) 338
glEnd () 340
glBegin (7) 344
glEnd () 346
glBegin (7) 350
glEnd () 352
glBegin (7) 356
glEnd () 358
glBegin (7) 362
glEnd () 364
glBegin (7) 368
glEnd () 370
glBegin (7) 374
glEnd () 376
glBegin (7) 380
glEnd () 382
glBegin (7) 386
glEnd () 388
glBegin (7) 392
glEnd () 394
glBegin (7) 398
glEnd () 400
glBegin (7) 404
glEnd () 406
glBegin (7) 410
glEnd () 412
glBegin (7) 416
glEnd () 418
glBegin (7) 422
glEnd () 424
glBegin (7) 428
glEnd () 430
glBegin (7) 434
glEnd () 436
glBegin (7) 440
glEnd () 442
glBegin (7) 446
glEnd () 448
glBegin (7) 452
glEnd () 454
glBegin (7) 458
glEnd () 460
glBegin (7) 464
glEnd () 466
glBegin (7) 470
glEnd () 472
glBegin (7) 476
glEnd () 478
glBegin (7) 482
glEnd () 484
glBegin (7) 488
glEnd () 490
glBegin (7) 494
glEnd () 496
glBegin (7) 500
glEnd () 502
glBegin (7) 506
glEnd () 508
glBegin (7) 512
glEnd () 514
glBegin (7) 518
glEnd () 520
glBegin (7) 524
glEnd () 526
glBegin (7) 530
glEnd () 532
glBegin (7) 536
glEnd () 538
glBegin (7) 542
glEnd () 544
glBegin (7) 548
glEnd () 550
glBegin (7) 554
glEnd () 556
glBegin (7) 560
